scenario,method,snr_db,omega_rad_per_frame,median_abs_error_rad,rmse_rad,p90_abs_error_rad,sign_error_rate,quality_mean,quality_median
decorrelation,huber_wls,-12.0,0.35,0.2195812165737152,0.7435970306396484,1.395077109336853,0.296875,0.33486509323120117,0.2974737584590912
decorrelation,leave_one_out,-12.0,0.35,0.23718036711215973,0.7497468590736389,1.3989481925964355,0.296875,0.33486509323120117,0.2974737584590912
decorrelation,circular_grid,-12.0,0.35,0.5837510824203491,1.4679204225540161,2.6620006561279297,0.3076171875,0.33486509323120117,0.2974737584590912
decorrelation,circular_refined,-12.0,0.35,0.5784739255905151,1.467002272605896,2.661931037902832,0.30859375,0.33486509323120117,0.2974737584590912
decorrelation,circular_sign_wls,-12.0,0.35,0.2511714696884155,0.7285140156745911,1.3686614036560059,0.3076171875,0.33486509323120117,0.2974737584590912
decorrelation,kasai,-12.0,0.8,0.8898805379867554,1.3933286666870117,2.5116922855377197,0.310546875,0.463505357503891,0.5147759914398193
decorrelation,wls_origin,-12.0,0.8,0.2694561183452606,0.9540824890136719,1.6898785829544067,0.2998046875,0.463505357503891,0.5147759914398193
decorrelation,wls_free,-12.0,0.8,0.4491082429885864,1.0202964544296265,1.7820343971252441,0.318359375,0.463505357503891,0.5147759914398193
decorrelation,huber_wls,-12.0,0.8,0.26145508885383606,0.9628199338912964,1.730528712272644,0.2998046875,0.463505357503891,0.5147759914398193
decorrelation,leave_one_out,-12.0,0.8,0.27306175231933594,0.9636887311935425,1.7212284803390503,0.3046875,0.463505357503891,0.5147759914398193
decorrelation,circular_grid,-12.0,0.8,0.5366887450218201,1.4598188400268555,2.658775568008423,0.3212890625,0.463505357503891,0.5147759914398193
decorrelation,circular_refined,-12.0,0.8,0.5337613821029663,1.4619688987731934,2.666443347930908,0.3212890625,0.463505357503891,0.5147759914398193
decorrelation,circular_sign_wls,-12.0,0.8,0.2954639196395874,0.9755646586418152,1.7194443941116333,0.3212890625,0.463505357503891,0.5147759914398193
decorrelation,kasai,-12.0,1.35,0.814294695854187,1.3697338104248047,2.4602813720703125,0.271484375,0.4359440207481384,0.4032856822013855
decorrelation,wls_origin,-12.0,1.35,0.8596866130828857,1.27082359790802,2.090747356414795,0.34765625,0.4359440207481384,0.4032856822013855
decorrelation,wls_free,-12.0,1.35,0.8933743238449097,1.333862066268921,2.2528367042541504,0.357421875,0.4359440207481384,0.4032856822013855
